GameID,All,Positive,Negative,Rating
216150,13308,8304,5004,0.623985573
2161700,25667,24307,1360,0.947013675
2162800,3509,3468,41,0.988315759
2183900,0,0,0,
218620,656413,587737,68676,0.895376844
2186680,18253,14413,3840,0.789623624
2195250,97720,55150,42570,0.564367581
221100,398265,302379,95886,0.759240707
221380,99953,95711,4242,0.957560053
2215430,38097,35124,2973,0.921962359
22380,215430,207064,8366,0.96116604
2250040,4750,4265,485,0.897894737
2252570,15844,14334,1510,0.904695784
227300,791335,770660,20675,0.973873265
2291060,4826,2733,2093,0.566307501
230410,593895,515425,78470,0.867872267
231430,106968,84373,22595,0.788768604
232090,122741,107592,15149,0.876577509
2321470,27478,23429,4049,0.852645753
2325290,7145,6014,1131,0.841707488
233860,86713,82641,4072,0.95304049
2338770,39918,11513,28405,0.288416253
2344520,30397,20042,10355,0.659341382
2349820,40591,22663,17928,0.558325737
2357570,289556,57037,232519,0.196980895
2358720,11006,9968,1038,0.905687807
236390,662262,414300,247962,0.625583228
236850,126825,110534,16291,0.871547408
2369390,21305,15320,5985,0.719080028
2379780,47259,46023,1236,0.973846252
238960,225131,200780,24351,0.891836309
239140,424182,403682,20500,0.951671688
2399830,58087,33888,24199,0.583400761
240,173768,167335,6433,0.962979375
2420110,15442,13858,1584,0.897422614
2426960,6118,4409,1709,0.720660347
242760,555050,530107,24943,0.955061706
244210,132732,122725,10007,0.92460748
244850,128008,113222,14786,0.884491594
2448970,14475,9440,5035,0.652158895
2471100,1694,1566,128,0.924439197
250900,297432,290005,7427,0.975029587
2515020,0,0,0,
251570,334789,295305,39484,0.882063031
2519060,11764,3646,8118,0.309928596
252490,1097047,955287,141760,0.870780377
2526380,1909,1398,511,0.732320587
252950,579786,508492,71294,0.87703394
255710,259522,242089,17433,0.932826504
2567870,28396,25272,3124,0.889984505
2572370,0,0,0,
2582560,366,200,166,0.546448087
261550,248792,218725,30067,0.879148043
262060,139286,127657,11629,0.916509915
2638370,6654,6388,266,0.960024046
2646460,9514,7484,2030,0.786630229
264710,280802,272052,8750,0.968839253
2668080,5159,4139,1020,0.802287265
2669320,0,0,0,
2670630,47169,43940,3229,0.931544023
2672610,2256,1850,406,0.820035461
268500,96287,81237,15050,0.843696449
2707930,13514,10907,2607,0.807088945
270880,158630,153560,5070,0.968038833
2709440,0,0,0,
2709570,7621,7023,598,0.921532607
271590,1855061,1614731,240330,0.870446309
2738000,241,120,121,0.497925311
275850,313776,254982,58794,0.812624292
2778580,98156,69044,29112,0.703410897
2780980,598,572,26,0.956521739
2808930,5577,2773,2804,0.497220728
281990,168672,148041,20631,0.877685686
284160,264847,257746,7101,0.973188294
2853730,587,382,205,0.65076661
2855560,593,347,246,0.585160202
286160,66732,62902,3830,0.942606246
2881650,96410,91121,5289,0.945140546
289070,323937,279728,44209,0.863525933
291550,370194,304195,65999,0.821717802
292030,792308,761159,31149,0.960685743
2923300,41538,34282,7256,0.825316578
2933620,0,0,0,
2936120,0,0,0,
294100,192193,188350,3843,0.980004475
2961880,2061,1955,106,0.948568656
2977660,2270,1767,503,0.778414097
3016800,0,0,0,
304390,144015,100051,43964,0.694726244
3047030,389,275,114,0.706940874
304930,544736,498299,46437,0.914753202
306130,147848,120753,27095,0.81673746
3076520,39,16,23,0.41025641
3103840,880,857,23,0.973863636
311210,203583,170609,32974,0.838031663
3132990,4268,3944,324,0.924086223
322170,367312,343259,24053,0.934516161
322330,464386,444288,20098,0.956721348
346110,699891,583769,116122,0.834085593
3590,129816,126659,3157,0.975680964
359320,94352,72543,21809,0.768854926
359550,1313725,1114067,199658,0.848021466
365670,61144,59016,2128,0.965196912
367520,365767,355210,10557,0.971137363
374320,389988,368096,21892,0.943864939
376210,82166,66811,15355,0.813122216
377160,375142,310284,64858,0.827110801
380600,58213,50396,7817,0.86571728
381210,741717,596383,145334,0.804057343
386180,60898,45970,14928,0.754868797
386360,118305,93445,24860,0.789865179
39210,76330,67264,9066,0.881226254
392160,20896,16416,4480,0.7856049
393080,13719,7020,6699,0.511699103
393380,183935,150963,32972,0.820741023
394360,298315,271367,26948,0.909665957
397540,135425,115190,20235,0.850581503
4000,1093461,1057813,35648,0.967398929
400040,6735,6441,294,0.956347439
412220,19876,18267,1609,0.919048098
413150,747350,734729,12621,0.98311233
427410,14940,14359,581,0.961111111
427520,188065,181953,6112,0.967500598
431730,18583,18419,164,0.99117473
431960,808866,793067,15799,0.980467717
435150,181543,174138,7405,0.959210765
436150,15204,10630,4574,0.699158116
438100,223323,167279,56044,0.749045105
440,1114422,974777,139645,0.87469289
440900,101640,79806,21834,0.785182999
444090,345210,293429,51781,0.850001448
444200,141935,112808,29127,0.794786346
457140,118452,114614,3838,0.96759869
4700,31431,30092,1339,0.957398746
480,0,0,0,
48700,162286,158618,3668,0.977397927
489830,305288,279120,26168,0.914284217
494840,19426,16089,3337,0.828219911
49520,285107,267730,17377,0.939050953
504230,104444,101836,2608,0.975029681
513710,104930,77968,26962,0.743047746
518790,162200,143490,18710,0.884648582
526870,166213,161152,5061,0.969551118
529340,45631,30437,15194,0.66702461
534380,168941,132274,36667,0.782959732
546560,90982,89439,1543,0.983040601
548430,306571,297892,8679,0.971690082
550,881255,859309,21946,0.975096879
552520,158361,127878,30483,0.807509425
552990,141516,109637,31879,0.774732186
553850,897878,643091,254787,0.716234277
570,2299254,1877960,421294,0.816769265
570940,109305,100284,9021,0.917469466
578080,2413620,1416771,996849,0.586990081
582010,454017,397298,56719,0.87507296
582660,81308,60759,20549,0.747269641
588650,155729,151327,4402,0.971732946
594650,220494,167709,52785,0.760605731
601510,42460,35504,6956,0.836175224
627690,13853,10765,3088,0.777087995
629520,72933,70084,2849,0.96093675
632360,282767,271705,11062,0.960879452
644930,46594,39676,6918,0.851525948
646570,162447,158929,3518,0.978343706
648800,321411,300445,20966,0.934768878
655500,21524,20216,1308,0.939230626
686810,125699,103302,22397,0.82182038
700330,197172,180533,16639,0.91561175
714010,115045,107325,7720,0.932895823
728880,64449,58475,5974,0.907306552
730,8257929,7194956,1062973,0.871278501
739630,701458,672933,28525,0.9593347
761890,75319,59597,15722,0.791261169
766570,65395,32273,33122,0.493508678
779340,100760,72404,28356,0.718578801
782330,194274,176949,17325,0.910821829
812140,158115,140919,17196,0.891243715
813780,147999,140282,7717,0.947857756
814380,294402,280726,13676,0.953546511
8500,34395,25442,8953,0.739700538
877280,1476,1370,106,0.928184282
881100,68556,65321,3235,0.952812299
892970,463803,438039,25764,0.944450553
8930,198874,191196,7678,0.961392641
899770,97813,75325,22488,0.77009191
933110,43726,36976,6750,0.845629603
945360,688360,631885,56475,0.917957174
949230,58145,31057,27088,0.534130192
958260,27197,22590,4607,0.830606317
960090,323773,315051,8722,0.973061373
960170,26527,23551,2976,0.887812418
962130,76128,67734,8394,0.889738335
976730,230568,213218,17350,0.92475105
977400,21132,19048,2084,0.901381791
985810,22731,13850,8881,0.609300075
990080,277089,251464,25625,0.907520688
993090,9734,8417,1317,0.864701048
